system:index,Date,NDVI,NDWI,S1,SI5,Sampling,.geo
18_00000000000000000006_0,2020-07-01,0.32637203,-0.39764586,-14.485823533792468,0.20024527460092537,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_00000000000000000008_0,2020-07-01,0.25557986,-0.34034103,-15.506116438362467,0.23512230859703637,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0000000000000000000a_0,2020-07-01,0.25225052,-0.29030985,-14.678263837961687,0.25545128694136576,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0000000000000000000c_0,2020-07-01,0.31217456,-0.36602995,-13.11648220672458,0.21069156366594274,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0000000000000000000e_0,2020-07-01,0.30096152,-0.3506364,-14.817487037282346,0.22589406809387447,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_00000000000000000010_0,2020-07-01,0.26134652,-0.3318192,-15.072580336520577,0.2435970443170442,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_00000000000000000000_0,2020-08-01,0.25442237,-0.38143337,-14.041338051689506,0.2465140969599913,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_00000000000000000002_0,2020-08-01,0.22632281,-0.34766674,-15.06693711948274,0.24540048899706782,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_00000000000000000004_0,2020-08-01,0.28981978,-0.38966152,-14.955981169900442,0.21035755275245052,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_00000000000000000006_0,2020-08-01,0.309909,-0.38039425,-14.023911893850551,0.19576101501575846,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_00000000000000000008_0,2020-08-01,0.2606635,-0.34241736,-15.5549299039094,0.21923412143186105,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0000000000000000000a_0,2020-08-01,0.23494487,-0.2994199,-16.41986542399348,0.2415022153107503,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0000000000000000000c_0,2020-08-01,0.30708244,-0.3644138,-13.399184438201788,0.19542116057377204,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0000000000000000000e_0,2020-08-01,0.3018238,-0.3641992,-14.126730908898518,0.20563386151118204,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_00000000000000000010_0,2020-08-01,0.26489758,-0.3260127,-16.077040445066668,0.22469651755200837,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_00000000000000000000_0,2021-05-01,0.41732284,-0.4229249,-10.603819506885108,0.17752289993124828,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_00000000000000000002_0,2021-05-01,0.30688837,-0.3477036,-9.777939091795586,0.1849690514653735,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_00000000000000000004_0,2021-05-01,0.38335288,-0.3887799,-12.329335596747985,0.16223760353259659,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_00000000000000000006_0,2021-05-01,0.38508934,-0.3857724,-14.290287943443618,0.16583466917384918,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_00000000000000000008_0,2021-05-01,0.28152457,-0.31155014,-11.504833127956005,0.18621582908012949,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0000000000000000000a_0,2021-05-01,0.33497992,-0.31789088,-12.700907651150679,0.13306344351473848,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0000000000000000000c_0,2021-05-01,0.31860134,-0.31620604,-12.44706320825135,0.16738724563120094,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0000000000000000000e_0,2021-05-01,0.36461732,-0.3530729,-10.523393494902153,0.16555633482292365,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_00000000000000000010_0,2021-05-01,0.27741778,-0.2967606,-12.380464207173853,0.18883713220656578,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_00000000000000000000_0,2021-06-01,0.3156146,-0.33374158,-12.058147259915888,0.29243604429002934,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
